30,10
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,3,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
21,12,3,1,15,11,21,23,7,22,29,14,17,13,9,5,24,5,25,19,16,28,1,27,8,10,2,18,20,6,
